,method,language,case_file,RMSE
0,2004,chinese,01,0.7608158674367396
1,2004,english,01,0.930194529883898
2,2004,japanese,01,1.0417571141287987
3,2004,thai,01,0.8375621867459554
4,2012,chinese,01,0.7688786684703275
5,2012,english,01,0.9550691692519215
6,2012,japanese,01,1.057389158066803
7,2012,thai,01,0.8341246243151492
8,2015,chinese,01,0.7299316423791316
9,2015,english,01,0.883470901237462
10,2015,japanese,01,1.0314828581096604
11,2015,thai,01,0.7853604828121689
12,2017,chinese,01,0.7521131496090298
13,2017,english,01,0.9379530155476873
14,2017,japanese,01,1.124065326747648
15,2017,thai,01,0.84096182842921
16,2004,chinese,02,0.9459876204924671
17,2004,english,02,0.9470264440067913
18,2004,japanese,02,0.7640893045173305
19,2004,thai,02,0.7774202427235197
20,2012,chinese,02,0.9008917264454024
21,2012,english,02,0.9108974464702989
22,2012,japanese,02,0.7289669865479862
23,2012,thai,02,0.754298302277981
24,2015,chinese,02,0.8853813309942491
25,2015,english,02,0.8969500065422326
26,2015,japanese,02,0.7290272684213203
27,2015,thai,02,0.7131002791346052
28,2017,chinese,02,0.95602113879562
29,2017,english,02,0.960741050003609
30,2017,japanese,02,0.7958669640945257
31,2017,thai,02,0.7939832698932455
32,2004,chinese,03,0.5954073482087082
33,2004,english,03,0.6579656805681855
34,2004,japanese,03,0.5884786716532221
35,2004,thai,03,0.5073747222677696
36,2012,chinese,03,0.5279260117124298
37,2012,english,03,0.6272347200986423
38,2012,japanese,03,0.47643583243764903
39,2012,thai,03,0.4785692229525499
40,2015,chinese,03,0.41663107486875756
41,2015,english,03,0.44952593663584456
42,2015,japanese,03,0.4158420659849032
43,2015,thai,03,0.3207972562688615
44,2017,chinese,03,0.5065796109192257
45,2017,english,03,0.5921023679401818
46,2017,japanese,03,0.4348942739493001
47,2017,thai,03,0.4728340603331269
48,2004,chinese,04,0.9298318729325729
49,2004,english,04,0.9357653705409832
50,2004,japanese,04,0.8760943057907001
51,2004,thai,04,0.8257721204469229
52,2012,chinese,04,0.8498065803218596
53,2012,english,04,0.9079057750736236
54,2012,japanese,04,0.832222784314081
55,2012,thai,04,0.7797819540315954
56,2015,chinese,04,0.8118230798412688
57,2015,english,04,0.9013474914522269
58,2015,japanese,04,0.8016855074016105
59,2015,thai,04,0.7404506358274143
60,2017,chinese,04,0.8533892973456335
61,2017,english,04,0.9387840357912364
62,2017,japanese,04,0.859940891123833
63,2017,thai,04,0.7759910964134595
64,2004,chinese,05,0.7575418927879195
65,2004,english,05,0.7589864784942068
66,2004,japanese,05,0.7651500794597242
67,2004,thai,05,0.6411518271901432
68,2012,chinese,05,0.5520142121300126
69,2012,english,05,0.7016192725317364
70,2012,japanese,05,0.6410449165771805
71,2012,thai,05,0.5506575535842984
72,2015,chinese,05,0.5953970211944482
73,2015,english,05,0.6067181516233541
74,2015,japanese,05,0.6246274931575886
75,2015,thai,05,0.5201891850033451
76,2017,chinese,05,0.6062717755730358
77,2017,english,05,0.683183524398283
78,2017,japanese,05,0.6376642285739241
79,2017,thai,05,0.5845863279007802
